2016-05-25 17:18:13,507 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.jardelnovaes.brtax:JNTaxBRPersistente:0.0.1-SNAPSHOT @ C:\Jardel\Outros\japps\work_JNBRTax\JNTaxBRPersistente\pom.xml.
2016-05-25 17:18:13,507 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.jardelnovaes.brtax:JNTaxBRPersistente:0.0.1-SNAPSHOT @ C:\Jardel\Outros\japps\work_JNBRTax\JNTaxBRPersistente\pom.xml.
2016-05-25 17:18:16,082 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-25 17:18:16,089 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-25 17:18:16,093 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-25 17:18:16,095 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-05-25 17:18:16,562 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.jardelnovaes.brtax:JNTaxBRPersistente:0.0.1-SNAPSHOT @ C:\Jardel\Outros\japps\work_JNBRTax\JNTaxBRPersistente\pom.xml.
2016-05-25 17:18:17,944 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: br.com.jardelnovaes.taxbr:JNTaxBRPortal:1.0.0-BUILD-SNAPSHOT @ C:\Jardel\Outros\japps\work_JNBRTax\JNTaxBRPortal\pom.xml.
2016-05-25 17:18:18,882 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.jardelnovaes.taxbr:JNTaxBRServices:0.0.1-SNAPSHOT @ C:\Jardel\Outros\japps\work_JNBRTax\JNTaxBRServices\pom.xml.
2016-05-25 17:18:19,206 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.jardelnovaes.brtax:JNTaxBRPersistente:0.0.1-SNAPSHOT @ C:\Jardel\Outros\japps\work_JNBRTax\JNTaxBRPersistente\pom.xml.
2016-05-25 17:18:19,592 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.jardelnovaes.taxbr:JNTaxBRServices:0.0.1-SNAPSHOT @ C:\Jardel\Outros\japps\work_JNBRTax\JNTaxBRServices\pom.xml.
2016-05-25 17:18:19,943 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: br.com.jardelnovaes.taxbr:JNTaxBRPortal:1.0.0-BUILD-SNAPSHOT @ C:\Jardel\Outros\japps\work_JNBRTax\JNTaxBRPortal\pom.xml.
2016-05-25 17:18:29,621 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
